date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:13:12	44957/44957	---M--	200	added ('OK')	text/html	etag:%22af9d-5534626a95140%22	http://jobpress.icookcode.net/dev/index.html	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/index.html	(from )
16:13:12	676/676	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2029%20Dec%202017%2010:13:13%20GMT	http://jobpress.icookcode.net/robots.txt		(from )
16:13:13	122540/122540	---M-Z	200	added ('OK')	text/css	etag:%221deac-5534626a95140-gzip%22	http://jobpress.icookcode.net/dev/css/bootstrap.min.css	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/css/bootstrap.min.css	(from http://jobpress.icookcode.net/dev/index.html)
16:13:13	51284/51284	---M-Z	200	added ('OK')	text/css	etag:%22c854-5534626a95140-gzip%22	http://jobpress.icookcode.net/dev/fonts/ionicons/css/ionicons.min.css	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/fonts/ionicons/css/ionicons.min.css	(from http://jobpress.icookcode.net/dev/index.html)
16:13:13	4594/4594	---M-Z	200	added ('OK')	text/css	etag:%2211f2-5534626a95140-gzip%22	http://jobpress.icookcode.net/dev/css/owl.carousel.css	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/css/owl.carousel.css	(from http://jobpress.icookcode.net/dev/index.html)
16:13:13	1303/1303	---M-Z	200	added ('OK')	text/css	etag:%22517-5534626a95140-gzip%22	http://jobpress.icookcode.net/dev/css/owl.theme.default.css	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/css/owl.theme.default.css	(from http://jobpress.icookcode.net/dev/index.html)
16:13:14	52789/52789	---M-Z	200	added ('OK')	text/css	etag:%22ce35-5534626a95140-gzip%22	http://jobpress.icookcode.net/dev/css/animate.min.css	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/css/animate.min.css	(from http://jobpress.icookcode.net/dev/index.html)
16:13:14	6142/6142	---M-Z	200	added ('OK')	text/css	etag:%2217fe-5534626a95140-gzip%22	http://jobpress.icookcode.net/dev/css/magnific-popup.css	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/css/magnific-popup.css	(from http://jobpress.icookcode.net/dev/index.html)
16:13:15	1317/1317	---M-Z	200	added ('OK')	text/css	etag:%22525-5534626a95140-gzip%22	http://jobpress.icookcode.net/dev/css/tagsinput.css	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/css/tagsinput.css	(from http://jobpress.icookcode.net/dev/index.html)
16:13:15	137684/137684	---M-Z	200	added ('OK')	text/css	etag:%22219d4-5534626a95140-gzip%22	http://jobpress.icookcode.net/dev/css/style.css	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/css/style.css	(from http://jobpress.icookcode.net/dev/index.html)
16:13:15	2534/2534	---M--	200	added ('OK')	image/png	etag:%229e6-5534626a95140%22	http://jobpress.icookcode.net/dev/images/logo.png	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/images/logo.png	(from http://jobpress.icookcode.net/dev/index.html)
16:13:16	31270/31270	---M--	200	added ('OK')	text/html	etag:%227a26-5534626a95140%22	http://jobpress.icookcode.net/dev/about.html	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/about.html	(from http://jobpress.icookcode.net/dev/index.html)
16:13:17	24109/24109	---M--	200	added ('OK')	text/html	etag:%225e2d-5534626a95140%22	http://jobpress.icookcode.net/dev/candidates-listing.html	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/candidates-listing.html	(from http://jobpress.icookcode.net/dev/index.html)
16:13:18	20760/20760	---M--	200	added ('OK')	text/html	etag:%225118-5534626a95140%22	http://jobpress.icookcode.net/dev/companies-listing.html	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/companies-listing.html	(from http://jobpress.icookcode.net/dev/index.html)
16:13:19	43132/43132	---M--	200	added ('OK')	text/html	etag:%22a87c-5534626a95140%22	http://jobpress.icookcode.net/dev/jobs-listing.html	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/jobs-listing.html	(from http://jobpress.icookcode.net/dev/index.html)
16:13:20	33151/33151	---M--	200	added ('OK')	text/html	etag:%22817f-5534626a95140%22	http://jobpress.icookcode.net/dev/job-details.html	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/job-details.html	(from http://jobpress.icookcode.net/dev/index.html)
16:13:20	29627/29627	---M--	200	added ('OK')	text/html	etag:%2273bb-5534626a95140%22	http://jobpress.icookcode.net/dev/categories.html	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/categories.html	(from http://jobpress.icookcode.net/dev/index.html)
16:13:21	37353/37353	---M--	200	added ('OK')	text/html	etag:%2291e9-5534626a95140%22	http://jobpress.icookcode.net/dev/post-resume-form.html	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/post-resume-form.html	(from http://jobpress.icookcode.net/dev/index.html)
16:13:22	61180/61180	---M--	200	added ('OK')	text/html	etag:%22eefc-5534626a95140%22	http://jobpress.icookcode.net/dev/candidate-dashboard.html	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/candidate-dashboard.html	(from http://jobpress.icookcode.net/dev/index.html)
16:13:24	33877/33877	---M--	200	added ('OK')	text/html	etag:%228455-5534626a95140%22	http://jobpress.icookcode.net/dev/post-job-form.html	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/post-job-form.html	(from http://jobpress.icookcode.net/dev/index.html)
16:13:26	29821/29821	---M--	200	added ('OK')	text/html	etag:%22747d-5534626a95140%22	http://jobpress.icookcode.net/dev/blog-grid-full-width.html	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/blog-grid-full-width.html	(from http://jobpress.icookcode.net/dev/index.html)
16:13:26	30016/30016	---M--	200	added ('OK')	text/html	etag:%227540-5534626a95140%22	http://jobpress.icookcode.net/dev/blog-masonry-full-width.html	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/blog-masonry-full-width.html	(from http://jobpress.icookcode.net/dev/index.html)
16:13:27	24417/24417	---M--	200	added ('OK')	text/html	etag:%225f61-5534626a95140%22	http://jobpress.icookcode.net/dev/blog-list.html	C:/My%20Web%20Sites/staffnetwork/jobpress.icookcode.net/dev/blog-list.html	(from http://jobpress.icookcode.net/dev/index.html)
